College_Name,State,Fees,Rating
Indira Institute of Engineering and Technology - [IIET],Unknown,Unknown,3.3
Indo Global College of Engineering,Unknown,Unknown,6.8
Indore Institute of Science and Technology - [IIST],Unknown,Unknown,9.0
Indraprastha Institute of Information Technology - [IIITD],Unknown,Unknown,7.7
Indraprastha Institute of Technology and Management - [IITM],Unknown,Unknown,8.6
Indus University,Unknown,Unknown,6.0
Institute of Aeronautical Engineering - [IARE],Unknown,Unknown,7.8
Institute of Chemical Technology - [ICT],Unknown,Unknown,9.7
Institute of Engineering & Technology - GLA University,Unknown,Unknown,6.7
Institute of Engineering and Management - [IEM],Unknown,Unknown,7.7
Institute of Engineering and Rural Technology - [IERT],Unknown,Unknown,6.0
Institute of Engineering and Technology - [IET],Unknown,Unknown,7.8
"Institute of Engineering and Technology, Devi Ahilya University - [IET -DAVV]",Unknown,Unknown,6.7
Institute of Infrastructure Technology Research and Management - [IITRAM],Unknown,Unknown,8.0
Institute of Management Studies - [IMS],Unknown,Unknown,9.0
"Institute of Management Studies, Banaras Hindu University",Unknown,Unknown,8.3
Institute of Road and Transport Technology - [IRTTECH],Unknown,Unknown,8.5
Institute of Technical Education and Research - [ITER],Unknown,Unknown,8.3
Institute of Technology & Management - [ITM],Unknown,Unknown,7.0
Integral University,Unknown,Unknown,9.3
International Institute of Information Technology - [IIIT],Unknown,Unknown,8.2
International Institute of Information Technology - [IIIT] Naya Raipur,Unknown,Unknown,9.3
International Maritime Institute - [IMI],Unknown,Unknown,9.5
Invertis University,Unknown,Unknown,4.3
"J.C. Bose University Of Science And Technology, YMCA",Unknown,Unknown,7.6
JB Institute of Technology - [JBIT],Unknown,Unknown,7.0
JD College of Engineering and Management,Unknown,Unknown,9.0
JECRC University - [JU],Unknown,Unknown,8.2
"JECRC University, School of Engineering",Unknown,Unknown,10.0
JEPPIAAR SRR Engineering college,Unknown,Unknown,4.2
JIMS Engineering Management Technical Campus- [JEMTEC],Unknown,Unknown,9.7
JIS College of Engineering - [JISCE],Unknown,Unknown,8.0
JIS University,Unknown,Unknown,7.8
JK Lakshmipat University - [JKLU],Unknown,Unknown,8.7
JNTUH College of Engineering Jagtial - [JNTUHCEJ],Unknown,Unknown,8.2
JSPM Narhe Technical Campus - [JSPM NTC] Narhe,Unknown,Unknown,9.3
JSS Academy of Technical Education - [JSSATE],Unknown,Unknown,8.0
JSS Science and Technology University -[JSSSTU],Unknown,Unknown,8.3
Jabalpur Engineering College - [JEC],Unknown,Unknown,7.0
Jadavpur University - [JU],Unknown,Unknown,8.6
Jagannath Institute of Engineering and Technology - [JIET],Unknown,Unknown,4.0
Jai Narain College of Technology - [JNCT],Unknown,Unknown,7.3
Jain College of Engineering - [JCE],Unknown,Unknown,6.3
Jain University - [JU],Unknown,Unknown,8.9
Jaipur Engineering College and Research Centre,Unknown,Unknown,8.1
Jaipur National University - [JNU],Unknown,Unknown,10.0
